"","Year","Hospital.Name","Hospital.County","Cesarean Births","Forceps Delivery","Total Births","Low/Outlet Forceps Delivery","Mid Forceps Delivery","Internal Fetal Monitoring","External Fetal Monitoring","Induction - Artificial Rupture of Membranes","Induction - Medicinal","Augmented Labor","Analgesia","Attended by Licensed Midwife","Vaginal Births","Vaginal Birth After Prior Cesarean","Total Births After Prior Cesarean","Breech Births Delivered Vaginally","Episiotomy","General Anesthesia (Vaginal)","Spinal Anesthesia (Vaginal)","Epidural Anesthesia","Local/Other Anesthesia","Paracervical Anesthesia","Pudendal Anesthesia","Primary Cesarean","Repeat Cesarean","General Anesthesia (Cesarean)","Spinal Anesthesia (Cesarean)","Epidural/Local Anesthesia","Fed Any Breast Milk","Fed Exclusively Breast Milk","Breast Fed Infants Supplemented w/Formula","X","ID","State","lon","lat"
"1","2010","Mercy Hospital","ERIE",804,23,2310,23,0,459,2299,1191,899,617,388,286,1501,14,362,3,354,3,2,1258,141,0,0,456,348,33,527,244,1369,1154,215,64,64," NY",-73.6314088,40.6874502
"2","2012","Oswego Hospital","OSWEGO",199,0,644,0,0,116,642,154,132,128,250,165,445,5,103,1,52,1,0,162,83,0,0,101,98,25,164,10,376,336,40,93,93," NY",-76.5163805,43.4537948
"3","2012","Glens Falls Hospital","WARREN",454,1,1393,1,0,225,1380,4,306,750,852,768,939,4,189,2,92,0,203,450,74,0,0,269,185,24,344,83,1049,822,227,40,40," NY",-73.6440058,43.3095164
"4","2008","Albany Medical Center Hospital","ALBANY",984,53,2282,53,0,321,2252,292,495,763,766,1,1298,50,442,20,162,2,320,702,27,0,4,592,392,39,768,174,1185,515,670,2,2," NY",-73.7771411,42.6536483
"5","2008","St Peters Hospital","ALBANY",903,16,2669,16,0,63,2584,1014,210,1128,498,309,1766,44,349,7,94,0,11,1104,164,0,0,598,305,14,589,295,1728,1622,106,126,126," NY",-73.8038346,42.6559038
"6","2008","Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp","ALLEGANY",144,1,378,0,1,29,323,32,140,164,127,90,234,0,57,2,32,0,0,73,38,0,0,87,57,17,116,11,284,248,36,63,63," NY",-77.9505441,42.1224097
"7","2008","Our Lady of Lourdes Memorial Hospital Inc","BROOME",360,12,1155,11,1,18,1144,220,201,134,493,123,795,6,155,0,193,1,2,308,131,0,1,211,149,18,280,61,867,801,66,94,94," NY",-75.9362283,42.0915013
"8","2008","Auburn Memorial Hospital","CAYUGA",54,0,329,0,0,13,320,178,31,67,258,77,275,0,33,2,118,0,1,41,54,0,13,21,33,5,42,7,189,151,38,5,5," NY",-76.5660529,42.9317335
"9","2008","United Health Services Hospitals Inc. - Wilson Medical Center","BROOME",531,2,1584,2,0,35,1570,119,485,590,862,214,1053,40,294,0,200,4,7,397,275,0,0,277,254,64,399,66,1006,915,91,133,133," NY",-75.9583893,42.1142391
"10","2008","Olean General Hospital","CATTARAUGUS",227,4,759,3,1,35,686,194,205,151,219,285,532,0,104,0,217,0,2,301,49,0,0,123,104,9,170,47,530,476,54,89,89," NY",-78.4277827,42.0902702
